group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.502,0.273,0.155,0.07,0.775,5.67,2.23
A,Czech Republic,0.232,0.301,0.281,0.187,0.532,4.24,0.19
A,South Korea,0.208,0.288,0.297,0.207,0.496,4.07,-0.04
A,South Africa,0.058,0.138,0.267,0.536,0.197,2.39,-2.39
B,Switzerland,0.57,0.317,0.094,0.019,0.887,6.43,3.85
B,Canada,0.356,0.435,0.165,0.044,0.791,5.59,2.35
B,Bosnia and Herzegovina,0.059,0.182,0.477,0.282,0.241,3.03,-1.66
B,Qatar,0.015,0.066,0.264,0.655,0.081,1.66,-4.54
C,Turkey,0.279,0.251,0.238,0.232,0.53,4.21,0.18
C,United States,0.267,0.247,0.24,0.246,0.514,4.12,0.04
C,Australia,0.241,0.254,0.256,0.249,0.495,4.04,-0.01
C,Paraguay,0.214,0.247,0.266,0.273,0.461,3.87,-0.2
D,Brazil,0.613,0.29,0.09,0.007,0.903,6.62,4.91
D,Morocco,0.31,0.466,0.198,0.026,0.776,5.6,2.35
D,Scotland,0.074,0.221,0.561,0.145,0.294,3.55,-0.79
D,Haiti,0.003,0.024,0.151,0.822,0.027,1.0,-6.47
E,Netherlands,0.458,0.298,0.164,0.08,0.756,5.49,2.04
E,Japan,0.349,0.333,0.209,0.109,0.682,5.01,1.28
E,Sweden,0.127,0.215,0.326,0.332,0.342,3.29,-1.31
E,Tunisia,0.066,0.154,0.301,0.479,0.22,2.59,-2.01
F,Germany,0.532,0.3,0.16,0.009,0.831,6.17,4.24
F,Ecuador,0.319,0.396,0.262,0.024,0.715,5.45,2.17
F,Ivory Coast,0.148,0.292,0.495,0.066,0.439,4.3,0.53
F,Curaçao,0.002,0.013,0.084,0.902,0.015,0.74,-6.94
G,Belgium,0.615,0.248,0.109,0.028,0.863,6.28,3.23
G,Iran,0.218,0.361,0.298,0.124,0.578,4.44,0.46
G,Egypt,0.148,0.31,0.372,0.171,0.458,3.92,-0.2
G,New Zealand,0.02,0.082,0.222,0.677,0.102,1.72,-3.49
H,Spain,0.755,0.209,0.031,0.005,0.964,7.21,5.34
H,Uruguay,0.215,0.569,0.166,0.05,0.784,5.16,1.45
H,Saudi Arabia,0.018,0.129,0.442,0.41,0.147,2.31,-2.94
H,Cape Verde,0.011,0.093,0.361,0.535,0.104,1.93,-3.84
I,Argentina,0.71,0.211,0.068,0.01,0.921,6.9,4.35
I,Austria,0.157,0.39,0.339,0.114,0.547,4.34,0.49
I,Algeria,0.121,0.334,0.394,0.151,0.455,3.96,-0.12
I,Jordan,0.011,0.065,0.198,0.725,0.076,1.46,-4.72
J,France,0.532,0.285,0.145,0.037,0.817,5.99,2.81
J,Norway,0.278,0.351,0.275,0.096,0.629,4.8,1.01
J,Senegal,0.172,0.296,0.376,0.156,0.468,4.08,-0.03
J,Iraq,0.018,0.068,0.203,0.711,0.086,1.6,-3.79
K,Portugal,0.515,0.328,0.116,0.041,0.843,5.96,2.66
K,Colombia,0.396,0.389,0.154,0.06,0.785,5.48,1.89
K,DR Congo,0.047,0.148,0.376,0.428,0.196,2.54,-2.11
K,Uzbekistan,0.042,0.134,0.353,0.471,0.176,2.39,-2.44
L,England,0.623,0.3,0.063,0.013,0.923,6.71,4.07
L,Croatia,0.329,0.485,0.144,0.042,0.814,5.56,2.32
L,Ghana,0.028,0.121,0.426,0.425,0.149,2.36,-2.78
L,Panama,0.02,0.094,0.366,0.519,0.114,2.05,-3.61
