group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.509,0.269,0.152,0.071,0.778,5.67,2.24
A,Czech Republic,0.218,0.293,0.283,0.205,0.512,4.12,0.02
A,South Korea,0.208,0.289,0.291,0.212,0.497,4.06,-0.06
A,South Africa,0.065,0.149,0.274,0.512,0.214,2.5,-2.2
B,Switzerland,0.569,0.321,0.091,0.019,0.89,6.43,3.89
B,Canada,0.362,0.439,0.158,0.041,0.801,5.63,2.42
B,Bosnia and Herzegovina,0.054,0.173,0.479,0.294,0.227,2.95,-1.8
B,Qatar,0.015,0.067,0.272,0.646,0.082,1.68,-4.52
C,Brazil,0.606,0.289,0.097,0.008,0.895,6.58,4.79
C,Morocco,0.307,0.456,0.21,0.026,0.764,5.55,2.29
C,Scotland,0.083,0.232,0.554,0.131,0.315,3.66,-0.56
C,Haiti,0.003,0.023,0.139,0.835,0.026,0.95,-6.53
D,Turkey,0.286,0.253,0.235,0.227,0.539,4.25,0.24
D,United States,0.264,0.246,0.241,0.249,0.51,4.1,0.01
D,Australia,0.238,0.255,0.257,0.25,0.493,4.03,-0.03
D,Paraguay,0.212,0.247,0.267,0.274,0.458,3.85,-0.22
E,Germany,0.546,0.295,0.151,0.008,0.841,6.23,4.36
E,Ecuador,0.309,0.402,0.265,0.023,0.711,5.42,2.12
E,Ivory Coast,0.143,0.29,0.501,0.066,0.434,4.27,0.51
E,Curaçao,0.002,0.012,0.083,0.903,0.014,0.72,-6.99
F,Netherlands,0.486,0.293,0.152,0.07,0.778,5.63,2.29
F,Japan,0.336,0.344,0.211,0.109,0.68,4.99,1.24
F,Sweden,0.115,0.21,0.331,0.343,0.325,3.21,-1.46
F,Tunisia,0.063,0.153,0.306,0.477,0.217,2.57,-2.07
G,Belgium,0.622,0.245,0.106,0.027,0.867,6.31,3.29
G,Iran,0.213,0.363,0.299,0.125,0.576,4.42,0.43
G,Egypt,0.146,0.31,0.372,0.173,0.455,3.9,-0.23
G,New Zealand,0.019,0.082,0.223,0.675,0.102,1.72,-3.49
H,Spain,0.756,0.209,0.03,0.005,0.964,7.21,5.33
H,Uruguay,0.215,0.572,0.165,0.048,0.787,5.17,1.45
H,Saudi Arabia,0.017,0.125,0.436,0.422,0.142,2.27,-3.02
H,Cape Verde,0.012,0.095,0.369,0.524,0.107,1.96,-3.76
I,France,0.518,0.29,0.154,0.038,0.809,5.94,2.73
I,Norway,0.286,0.348,0.276,0.091,0.634,4.85,1.1
I,Senegal,0.179,0.3,0.375,0.146,0.479,4.15,0.07
I,Iraq,0.017,0.062,0.195,0.726,0.079,1.54,-3.91
J,Argentina,0.692,0.221,0.076,0.011,0.913,6.81,4.19
J,Austria,0.16,0.378,0.351,0.112,0.538,4.33,0.5
J,Algeria,0.137,0.344,0.387,0.132,0.481,4.09,0.14
J,Jordan,0.011,0.058,0.186,0.745,0.068,1.39,-4.84
K,Portugal,0.498,0.339,0.12,0.043,0.836,5.89,2.53
K,Colombia,0.414,0.382,0.147,0.057,0.796,5.55,2.0
K,DR Congo,0.047,0.148,0.38,0.425,0.195,2.54,-2.07
K,Uzbekistan,0.041,0.132,0.352,0.475,0.173,2.38,-2.46
L,England,0.663,0.275,0.051,0.01,0.939,6.89,4.41
L,Croatia,0.294,0.512,0.15,0.044,0.806,5.46,2.16
L,Ghana,0.025,0.122,0.436,0.417,0.147,2.35,-2.81
L,Panama,0.017,0.091,0.362,0.53,0.108,1.99,-3.75
