group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.623,0.254,0.113,0.01,0.877,6.45,3.06
A,South Korea,0.311,0.46,0.19,0.038,0.772,5.66,0.88
A,Czech Republic,0.054,0.188,0.451,0.307,0.242,2.79,-0.94
A,South Africa,0.012,0.098,0.245,0.645,0.11,1.98,-3.0
B,Switzerland,0.599,0.238,0.129,0.034,0.837,6.18,3.4
B,Canada,0.278,0.413,0.23,0.079,0.691,4.5,1.29
B,Bosnia and Herzegovina,0.093,0.257,0.418,0.232,0.35,3.41,-0.54
B,Qatar,0.03,0.092,0.222,0.655,0.122,1.81,-4.16
C,Brazil,0.594,0.285,0.105,0.016,0.879,6.43,4.24
C,Morocco,0.301,0.431,0.221,0.047,0.731,5.32,1.95
C,Scotland,0.096,0.239,0.484,0.182,0.335,3.58,-0.7
C,Haiti,0.01,0.045,0.19,0.755,0.055,1.33,-5.49
D,United States,0.532,0.289,0.149,0.03,0.821,5.74,2.99
D,Turkey,0.256,0.299,0.254,0.192,0.554,4.36,0.4
D,Australia,0.183,0.273,0.297,0.246,0.456,3.87,-0.26
D,Paraguay,0.03,0.139,0.299,0.532,0.169,2.58,-3.13
E,Germany,0.509,0.304,0.168,0.019,0.813,6.0,3.69
E,Ecuador,0.327,0.382,0.253,0.037,0.71,5.36,2.01
E,Ivory Coast,0.158,0.288,0.457,0.096,0.447,4.21,0.38
E,Curaçao,0.005,0.026,0.121,0.848,0.031,1.0,-6.08
F,Netherlands,0.474,0.284,0.16,0.082,0.758,5.52,2.13
F,Japan,0.311,0.323,0.227,0.138,0.634,4.76,0.93
F,Sweden,0.134,0.22,0.311,0.336,0.353,3.33,-1.25
F,Tunisia,0.081,0.173,0.302,0.444,0.254,2.78,-1.81
G,Belgium,0.603,0.245,0.113,0.038,0.848,6.18,3.21
G,Iran,0.209,0.339,0.292,0.161,0.547,4.28,0.24
G,Egypt,0.151,0.3,0.344,0.206,0.451,3.84,-0.3
G,New Zealand,0.037,0.116,0.251,0.595,0.153,2.09,-3.15
H,Spain,0.697,0.242,0.05,0.011,0.939,6.87,4.62
H,Uruguay,0.255,0.512,0.174,0.059,0.767,5.16,1.49
H,Saudi Arabia,0.025,0.127,0.397,0.451,0.152,2.29,-2.91
H,Cape Verde,0.023,0.119,0.378,0.48,0.142,2.2,-3.2
I,France,0.48,0.295,0.173,0.052,0.775,5.72,2.44
I,Norway,0.297,0.331,0.27,0.102,0.628,4.83,1.09
I,Senegal,0.2,0.298,0.349,0.152,0.499,4.22,0.17
I,Iraq,0.023,0.075,0.208,0.694,0.098,1.7,-3.7
J,Argentina,0.662,0.234,0.088,0.016,0.896,6.65,3.99
J,Austria,0.169,0.36,0.346,0.125,0.529,4.29,0.44
J,Algeria,0.154,0.339,0.368,0.14,0.492,4.13,0.18
J,Jordan,0.015,0.067,0.199,0.719,0.082,1.52,-4.61
K,Portugal,0.457,0.343,0.143,0.057,0.8,5.65,2.25
K,Colombia,0.435,0.355,0.149,0.061,0.79,5.56,2.09
K,DR Congo,0.062,0.169,0.381,0.388,0.231,2.75,-1.78
K,Uzbekistan,0.045,0.133,0.327,0.495,0.179,2.37,-2.56
L,England,0.621,0.286,0.074,0.018,0.908,6.59,3.88
L,Croatia,0.311,0.46,0.171,0.058,0.771,5.33,1.95
L,Ghana,0.041,0.147,0.414,0.398,0.188,2.57,-2.39
L,Panama,0.027,0.107,0.341,0.526,0.133,2.12,-3.43
