group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.973,0.027,0.0,0.0,1.0,8.41,4.67
A,South Korea,0.027,0.797,0.163,0.013,0.824,5.01,0.9
A,South Africa,0.0,0.147,0.326,0.527,0.147,1.73,-2.9
A,Czech Republic,0.0,0.029,0.511,0.46,0.029,1.42,-2.67
B,Canada,0.686,0.314,0.0,0.0,1.0,5.48,6.17
B,Switzerland,0.314,0.682,0.004,0.0,0.996,5.23,2.83
B,Bosnia and Herzegovina,0.0,0.004,0.631,0.366,0.004,2.28,-3.08
B,Qatar,0.0,0.0,0.366,0.634,0.0,2.41,-5.92
C,Brazil,0.663,0.227,0.11,0.0,0.89,6.17,4.16
C,Morocco,0.3,0.679,0.021,0.0,0.979,6.29,2.38
C,Scotland,0.037,0.094,0.849,0.02,0.131,3.6,-1.16
C,Haiti,0.0,0.0,0.02,0.98,0.0,0.5,-5.38
D,United States,0.996,0.004,0.0,0.0,1.0,7.83,5.67
D,Australia,0.004,0.714,0.26,0.022,0.718,4.54,0.26
D,Paraguay,0.0,0.282,0.631,0.087,0.282,4.15,-2.26
D,Turkey,0.0,0.0,0.109,0.891,0.0,0.9,-3.67
E,Germany,0.999,0.001,0.0,0.0,1.0,7.59,7.32
E,Ivory Coast,0.001,0.804,0.151,0.044,0.805,4.98,0.87
E,Curaçao,0.0,0.119,0.157,0.724,0.119,1.75,-6.87
E,Ecuador,0.0,0.076,0.692,0.232,0.076,2.11,-1.32
F,Netherlands,0.572,0.425,0.003,0.0,0.997,6.3,5.4
F,Japan,0.391,0.49,0.119,0.0,0.881,6.17,5.16
F,Sweden,0.037,0.085,0.878,0.0,0.122,3.6,-1.16
F,Tunisia,0.0,0.0,0.0,1.0,0.0,0.49,-9.4
G,Egypt,0.544,0.208,0.248,0.0,0.752,5.15,1.74
G,Iran,0.311,0.166,0.478,0.044,0.478,3.54,0.26
G,Belgium,0.145,0.509,0.194,0.152,0.654,3.96,0.83
G,New Zealand,0.0,0.117,0.08,0.803,0.117,1.78,-2.83
H,Spain,0.84,0.108,0.052,0.0,0.948,6.01,4.91
H,Uruguay,0.137,0.085,0.676,0.102,0.222,2.73,-0.91
H,Cape Verde,0.023,0.504,0.21,0.263,0.526,3.3,-0.06
H,Saudi Arabia,0.0,0.303,0.062,0.635,0.303,2.39,-3.94
I,France,0.806,0.194,0.0,0.0,1.0,7.86,5.68
I,Norway,0.194,0.806,0.0,0.0,1.0,6.86,3.32
I,Senegal,0.0,0.0,0.791,0.209,0.0,1.8,-2.39
I,Iraq,0.0,0.0,0.209,0.791,0.0,0.91,-6.61
J,Argentina,0.999,0.001,0.0,0.0,1.0,8.58,7.04
J,Austria,0.001,0.628,0.364,0.008,0.628,4.27,-0.11
J,Algeria,0.0,0.372,0.613,0.015,0.372,4.42,-1.89
J,Jordan,0.0,0.0,0.022,0.978,0.0,0.28,-5.04
K,Colombia,0.729,0.271,0.0,0.0,1.0,7.58,3.31
K,Portugal,0.271,0.726,0.003,0.0,0.997,5.12,4.69
K,DR Congo,0.0,0.003,0.649,0.349,0.003,2.33,-1.02
K,Uzbekistan,0.0,0.0,0.349,0.651,0.0,1.36,-6.98
L,England,0.683,0.314,0.003,0.0,0.997,6.11,3.05
L,Croatia,0.212,0.346,0.419,0.023,0.558,4.94,-0.2
L,Ghana,0.106,0.339,0.555,0.0,0.445,4.79,0.2
L,Panama,0.0,0.0,0.023,0.977,0.0,0.65,-3.05
