group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.509,0.269,0.152,0.071,0.778,5.67,2.24
A,Czech Republic,0.218,0.293,0.283,0.205,0.511,4.12,0.02
A,South Korea,0.208,0.289,0.291,0.212,0.496,4.05,-0.06
A,South Africa,0.065,0.15,0.274,0.512,0.214,2.5,-2.2
B,Switzerland,0.569,0.321,0.091,0.019,0.89,6.43,3.89
B,Canada,0.362,0.439,0.158,0.041,0.801,5.63,2.42
B,Bosnia and Herzegovina,0.054,0.173,0.479,0.294,0.227,2.95,-1.8
B,Qatar,0.015,0.067,0.272,0.646,0.082,1.68,-4.52
C,Turkey,0.286,0.253,0.235,0.226,0.539,4.25,0.24
C,United States,0.264,0.247,0.241,0.248,0.511,4.1,0.01
C,Australia,0.239,0.254,0.257,0.25,0.493,4.03,-0.02
C,Paraguay,0.211,0.246,0.267,0.276,0.457,3.85,-0.23
D,Brazil,0.606,0.289,0.098,0.008,0.895,6.57,4.79
D,Morocco,0.307,0.456,0.211,0.027,0.763,5.55,2.29
D,Scotland,0.084,0.233,0.553,0.13,0.317,3.67,-0.55
D,Haiti,0.003,0.022,0.139,0.836,0.025,0.95,-6.53
E,Netherlands,0.486,0.292,0.152,0.07,0.778,5.64,2.29
E,Japan,0.336,0.345,0.21,0.109,0.681,4.99,1.25
E,Sweden,0.115,0.209,0.332,0.344,0.324,3.21,-1.47
E,Tunisia,0.063,0.154,0.306,0.477,0.217,2.57,-2.07
F,Germany,0.546,0.294,0.152,0.008,0.84,6.23,4.36
F,Ecuador,0.308,0.403,0.265,0.023,0.711,5.42,2.13
F,Ivory Coast,0.144,0.291,0.5,0.065,0.435,4.28,0.51
F,Curaçao,0.002,0.012,0.082,0.904,0.014,0.72,-6.99
G,Belgium,0.622,0.245,0.106,0.027,0.867,6.31,3.29
G,Iran,0.213,0.363,0.299,0.125,0.576,4.42,0.43
G,Egypt,0.146,0.31,0.372,0.173,0.456,3.9,-0.23
G,New Zealand,0.019,0.082,0.223,0.675,0.102,1.72,-3.49
H,Spain,0.756,0.209,0.03,0.005,0.965,7.2,5.33
H,Uruguay,0.215,0.571,0.165,0.049,0.787,5.17,1.45
H,Saudi Arabia,0.017,0.124,0.436,0.422,0.142,2.27,-3.02
H,Cape Verde,0.012,0.095,0.369,0.524,0.107,1.96,-3.76
I,Argentina,0.691,0.221,0.076,0.011,0.913,6.81,4.19
I,Austria,0.161,0.377,0.352,0.111,0.538,4.33,0.51
I,Algeria,0.138,0.344,0.387,0.132,0.482,4.1,0.15
I,Jordan,0.01,0.058,0.185,0.747,0.068,1.38,-4.85
J,France,0.518,0.29,0.153,0.038,0.809,5.94,2.74
J,Norway,0.286,0.348,0.276,0.091,0.633,4.85,1.1
J,Senegal,0.179,0.299,0.376,0.145,0.478,4.15,0.07
J,Iraq,0.017,0.063,0.195,0.726,0.079,1.54,-3.91
K,Portugal,0.498,0.338,0.12,0.043,0.836,5.89,2.53
K,Colombia,0.414,0.382,0.147,0.057,0.796,5.55,2.0
K,DR Congo,0.047,0.148,0.38,0.425,0.195,2.54,-2.07
K,Uzbekistan,0.041,0.132,0.352,0.475,0.173,2.38,-2.46
L,England,0.663,0.275,0.051,0.01,0.939,6.89,4.4
L,Croatia,0.294,0.512,0.15,0.044,0.806,5.46,2.16
L,Ghana,0.025,0.122,0.436,0.416,0.147,2.36,-2.81
L,Panama,0.017,0.091,0.362,0.53,0.108,1.99,-3.75
