group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.591,0.295,0.109,0.005,0.886,6.52,3.11
A,South Korea,0.362,0.485,0.133,0.021,0.846,6.06,1.54
A,Czech Republic,0.04,0.158,0.53,0.272,0.198,2.73,-1.0
A,South Africa,0.007,0.063,0.229,0.701,0.07,1.62,-3.65
B,Switzerland,0.446,0.27,0.224,0.06,0.716,4.73,1.46
B,Canada,0.356,0.339,0.217,0.088,0.695,4.51,1.33
B,Bosnia and Herzegovina,0.167,0.286,0.345,0.202,0.453,3.73,-0.09
B,Qatar,0.031,0.105,0.213,0.65,0.137,2.12,-2.7
C,Brazil,0.571,0.29,0.123,0.016,0.86,5.88,3.98
C,Morocco,0.29,0.461,0.203,0.046,0.751,5.3,2.43
C,Scotland,0.135,0.241,0.592,0.033,0.376,4.42,-1.09
C,Haiti,0.004,0.009,0.082,0.905,0.013,0.67,-5.32
D,United States,0.731,0.176,0.083,0.01,0.906,6.47,4.12
D,Australia,0.204,0.447,0.279,0.07,0.651,4.88,0.67
D,Turkey,0.046,0.208,0.378,0.367,0.254,2.99,-1.64
D,Paraguay,0.019,0.17,0.259,0.552,0.189,2.61,-3.14
E,Germany,0.742,0.19,0.068,0.0,0.932,7.0,7.91
E,Ivory Coast,0.243,0.632,0.124,0.001,0.875,6.33,2.2
E,Ecuador,0.015,0.174,0.769,0.042,0.189,3.53,0.82
E,Curaçao,0.0,0.004,0.039,0.957,0.004,0.47,-10.93
F,Netherlands,0.415,0.341,0.196,0.048,0.756,5.25,2.37
F,Sweden,0.316,0.278,0.39,0.016,0.594,4.96,2.85
F,Japan,0.26,0.362,0.292,0.085,0.623,4.73,1.46
F,Tunisia,0.008,0.019,0.121,0.852,0.027,1.13,-6.68
G,Belgium,0.623,0.26,0.084,0.033,0.883,5.68,3.16
G,Egypt,0.254,0.469,0.173,0.103,0.724,4.68,1.36
G,Iran,0.079,0.158,0.438,0.324,0.238,2.61,-1.73
G,New Zealand,0.044,0.112,0.305,0.539,0.156,2.13,-2.8
H,Spain,0.713,0.198,0.072,0.017,0.911,5.77,3.65
H,Uruguay,0.196,0.385,0.296,0.123,0.581,3.87,0.11
H,Cape Verde,0.048,0.241,0.31,0.401,0.289,2.89,-1.3
H,Saudi Arabia,0.043,0.176,0.322,0.458,0.22,2.66,-2.47
I,France,0.735,0.244,0.021,0.001,0.979,7.56,5.38
I,Norway,0.248,0.502,0.248,0.002,0.75,5.43,2.54
I,Senegal,0.017,0.249,0.641,0.093,0.266,3.55,-0.7
I,Iraq,0.001,0.005,0.09,0.905,0.005,0.67,-7.22
J,Argentina,0.826,0.157,0.016,0.001,0.983,7.55,5.98
J,Austria,0.159,0.584,0.249,0.009,0.743,5.16,1.16
J,Algeria,0.013,0.236,0.526,0.225,0.249,3.3,-2.12
J,Jordan,0.002,0.023,0.21,0.765,0.025,1.07,-5.02
K,Colombia,0.52,0.347,0.126,0.007,0.867,6.24,2.77
K,Portugal,0.412,0.409,0.146,0.033,0.821,5.16,2.41
K,DR Congo,0.062,0.2,0.475,0.263,0.262,3.24,-0.79
K,Uzbekistan,0.006,0.045,0.253,0.696,0.051,1.45,-4.39
L,England,0.915,0.07,0.013,0.002,0.985,7.87,5.6
L,Ghana,0.048,0.303,0.571,0.078,0.351,4.13,-1.77
L,Croatia,0.033,0.576,0.271,0.12,0.609,4.09,-0.03
L,Panama,0.004,0.051,0.145,0.8,0.055,1.12,-3.79
