group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.601,0.285,0.109,0.005,0.886,6.57,3.19
A,South Korea,0.349,0.49,0.139,0.022,0.839,6.02,1.46
A,Czech Republic,0.043,0.162,0.53,0.266,0.204,2.77,-0.93
A,South Africa,0.007,0.063,0.222,0.707,0.071,1.6,-3.72
B,Switzerland,0.442,0.271,0.226,0.061,0.713,4.71,1.45
B,Canada,0.356,0.338,0.217,0.09,0.693,4.51,1.34
B,Bosnia and Herzegovina,0.17,0.286,0.344,0.2,0.456,3.74,-0.07
B,Qatar,0.032,0.106,0.213,0.649,0.138,2.13,-2.73
C,Brazil,0.576,0.285,0.122,0.017,0.861,5.88,4.07
C,Morocco,0.284,0.464,0.207,0.045,0.748,5.3,2.44
C,Scotland,0.136,0.242,0.59,0.032,0.378,4.43,-1.09
C,Haiti,0.004,0.009,0.081,0.907,0.013,0.66,-5.42
D,United States,0.729,0.178,0.083,0.01,0.907,6.46,4.11
D,Australia,0.203,0.448,0.279,0.07,0.651,4.87,0.68
D,Turkey,0.048,0.205,0.379,0.368,0.253,2.99,-1.65
D,Paraguay,0.019,0.169,0.26,0.552,0.189,2.62,-3.14
E,Germany,0.738,0.191,0.071,0.0,0.929,6.97,7.87
E,Ivory Coast,0.245,0.627,0.126,0.001,0.872,6.34,2.22
E,Ecuador,0.017,0.178,0.766,0.04,0.194,3.55,0.96
E,Curaçao,0.0,0.004,0.037,0.959,0.004,0.46,-11.05
F,Netherlands,0.422,0.341,0.192,0.046,0.762,5.28,2.42
F,Sweden,0.31,0.276,0.398,0.016,0.586,4.92,2.8
F,Japan,0.26,0.365,0.293,0.082,0.625,4.74,1.48
F,Tunisia,0.008,0.018,0.118,0.856,0.026,1.12,-6.7
G,Belgium,0.625,0.258,0.084,0.033,0.883,5.69,3.2
G,Egypt,0.253,0.471,0.173,0.103,0.723,4.67,1.37
G,Iran,0.079,0.158,0.438,0.324,0.237,2.61,-1.74
G,New Zealand,0.043,0.113,0.304,0.54,0.156,2.13,-2.83
H,Spain,0.712,0.197,0.073,0.017,0.91,5.77,3.66
H,Uruguay,0.195,0.381,0.298,0.126,0.576,3.86,0.08
H,Cape Verde,0.049,0.245,0.309,0.397,0.294,2.91,-1.26
H,Saudi Arabia,0.044,0.176,0.321,0.459,0.22,2.65,-2.48
I,France,0.739,0.24,0.021,0.001,0.979,7.56,5.42
I,Norway,0.244,0.503,0.251,0.002,0.747,5.42,2.52
I,Senegal,0.017,0.252,0.639,0.093,0.268,3.55,-0.68
I,Iraq,0.001,0.005,0.09,0.904,0.006,0.67,-7.26
J,Argentina,0.839,0.146,0.014,0.001,0.985,7.62,6.14
J,Austria,0.147,0.588,0.255,0.009,0.736,5.12,1.06
J,Algeria,0.012,0.243,0.528,0.216,0.255,3.32,-2.08
J,Jordan,0.002,0.022,0.202,0.774,0.024,1.03,-5.12
K,Portugal,0.59,0.305,0.083,0.022,0.895,6.48,3.92
K,Colombia,0.345,0.454,0.153,0.048,0.799,5.55,2.22
K,DR Congo,0.039,0.14,0.422,0.399,0.179,2.55,-2.62
K,Uzbekistan,0.026,0.101,0.342,0.531,0.127,2.09,-3.52
L,England,0.673,0.231,0.073,0.023,0.904,6.68,4.19
L,Croatia,0.235,0.453,0.219,0.094,0.688,4.87,1.09
L,Ghana,0.054,0.182,0.384,0.38,0.236,2.77,-2.25
L,Panama,0.037,0.135,0.324,0.504,0.172,2.29,-3.03
