home_team,away_team,odds_1,odds_X,odds_2
Mexico,South Africa,1.43,4.43,8.41
South Korea,Czech Republic,2.72,3.1,2.81
United States,Paraguay,1.96,3.4,4.2
Qatar,Switzerland,13.5,6.6,1.21
Brazil,Morocco,1.65,3.85,5.5
Haiti,Scotland,6.02,4.3,1.53
Canada,Bosnia & Herzegovina,1.81,3.6,4.78
Australia,Turkey,5.23,3.8,1.7
Germany,Curaçao,1.04,18.5,50.0
Netherlands,Japan,2.03,3.58,3.7
Ivory Coast,Ecuador,3.6,2.83,2.43
Sweden,Tunisia,1.9,3.45,4.33
Spain,Cape Verde,1.09,11.5,26.0
Belgium,Egypt,1.65,3.9,5.45
Saudi Arabia,Uruguay,7.8,4.45,1.44
Iran,New Zealand,1.85,3.5,4.7
France,Senegal,1.47,4.4,7.29
Iraq,Norway,14.0,7.0,1.21
Argentina,Algeria,1.4,4.7,9.05
Austria,Jordan,1.31,5.5,9.5
Portugal,DR Congo,1.28,5.75,11.0
England,Croatia,1.73,3.8,4.91
Ghana,Panama,2.08,3.45,3.63
Uzbekistan,Colombia,9.0,4.7,1.38
Czech Republic,South Africa,1.95,3.3,4.1
Switzerland,Bosnia & Herzegovina,1.6,3.95,5.5
Canada,Qatar,1.3,5.2,10.6
Mexico,South Korea,1.8,3.55,4.61
United States,Australia,1.74,3.8,4.5
Scotland,Morocco,4.1,3.28,2.0
Brazil,Haiti,1.08,11.5,30.0
Turkey,Paraguay,2.21,3.15,3.45
Netherlands,Sweden,1.63,4.0,5.2
Germany,Ivory Coast,1.55,4.29,5.6
Ecuador,Curaçao,1.19,6.75,15.0
Tunisia,Japan,5.2,3.6,1.72
Spain,Saudi Arabia,1.11,9.5,23.0
Belgium,Iran,1.4,4.66,7.8
Uruguay,Cape Verde,1.44,4.47,7.28
New Zealand,Egypt,4.86,3.7,1.73
Argentina,Austria,1.65,3.8,5.4
France,Iraq,1.12,8.5,25.0
Norway,Senegal,2.1,3.45,3.33
Jordan,Algeria,6.4,4.17,1.5
Portugal,Uzbekistan,1.24,6.2,11.04
England,Ghana,1.3,5.21,9.5
Panama,Croatia,6.6,3.98,1.53
Colombia,DR Congo,1.45,4.2,7.4
Bosnia & Herzegovina,Qatar,1.57,3.8,5.8
Switzerland,Canada,2.1,3.3,3.5
Scotland,Brazil,6.5,4.42,1.45
Morocco,Haiti,1.32,5.0,9.5
Czech Republic,Mexico,4.5,3.5,1.8
South Africa,South Korea,4.0,3.35,1.95
Curaçao,Ivory Coast,13.0,5.99,1.2
Ecuador,Germany,4.75,3.75,1.73
Japan,Sweden,2.07,3.34,3.48
Tunisia,Netherlands,6.28,4.2,1.49
Paraguay,Australia,2.15,3.17,3.45
Turkey,United States,2.63,3.41,2.55
Norway,France,4.2,3.54,1.8
Senegal,Iraq,1.4,4.4,7.5
Cape Verde,Saudi Arabia,2.55,3.23,2.73
Uruguay,Spain,5.25,3.84,1.61
New Zealand,Belgium,10.0,5.3,1.28
Egypt,Iran,2.22,2.98,3.5
Croatia,Ghana,1.64,3.72,5.21
Panama,England,9.5,5.7,1.27
Colombia,Portugal,3.5,3.27,2.12
DR Congo,Uzbekistan,2.3,3.2,3.06
Algeria,Austria,3.54,3.1,2.14
Jordan,Argentina,13.33,6.4,1.19
