home_team,away_team,odds_1,odds_X,odds_2
Mexico,South Africa,1.43,4.5,8.77
South Korea,Czech Republic,2.7,3.1,2.9
United States,Paraguay,2.06,3.3,3.94
Qatar,Switzerland,14.23,7.0,1.21
Brazil,Morocco,1.7,3.74,5.5
Haiti,Scotland,6.0,4.4,1.55
Canada,Bosnia & Herzegovina,1.85,3.58,4.65
Australia,Turkey,5.16,3.76,1.71
Germany,Curaçao,1.04,19.0,41.0
Netherlands,Japan,2.07,3.58,3.74
Ivory Coast,Ecuador,3.25,2.86,2.63
Sweden,Tunisia,1.95,3.47,4.2
Spain,Cape Verde,1.08,13.0,29.0
Belgium,Egypt,1.61,4.0,6.0
Saudi Arabia,Uruguay,8.0,4.35,1.46
Iran,New Zealand,1.93,3.4,4.5
France,Senegal,1.47,4.6,7.5
Iraq,Norway,14.5,7.15,1.21
Argentina,Algeria,1.44,4.52,8.0
Austria,Jordan,1.36,5.23,9.0
Portugal,DR Congo,1.29,5.7,11.0
England,Croatia,1.73,3.8,5.16
Ghana,Panama,2.21,3.33,3.45
Uzbekistan,Colombia,9.5,4.8,1.38
Czech Republic,South Africa,1.76,3.8,4.7
Switzerland,Bosnia & Herzegovina,1.56,4.2,6.2
Canada,Qatar,1.28,5.8,12.0
Mexico,South Korea,2.0,3.35,4.07
United States,Australia,1.61,4.2,5.45
Scotland,Morocco,5.18,3.65,1.74
Brazil,Haiti,1.1,11.0,22.23
Turkey,Paraguay,2.03,3.4,3.95
Netherlands,Sweden,1.68,3.95,5.0
Germany,Ivory Coast,1.54,4.45,5.9
Ecuador,Curaçao,1.09,11.0,26.0
Tunisia,Japan,6.93,4.15,1.52
Spain,Saudi Arabia,1.1,10.0,25.0
Belgium,Iran,1.42,4.7,7.8
Uruguay,Cape Verde,1.49,4.2,7.5
New Zealand,Egypt,5.6,4.0,1.62
Argentina,Austria,1.62,3.86,5.75
France,Iraq,1.11,9.0,26.0
Norway,Senegal,2.12,3.46,3.4
Jordan,Algeria,6.75,4.3,1.5
Portugal,Uzbekistan,1.24,6.25,12.0
England,Ghana,1.31,5.4,9.5
Panama,Croatia,6.5,3.9,1.55
Colombia,DR Congo,1.47,4.2,7.4
Bosnia & Herzegovina,Qatar,1.55,3.98,6.0
Switzerland,Canada,2.1,3.35,3.5
Scotland,Brazil,6.8,4.75,1.42
Morocco,Haiti,1.29,5.5,10.5
Czech Republic,Mexico,4.57,3.51,1.8
South Africa,South Korea,5.75,3.99,1.58
Curaçao,Ivory Coast,19.0,8.0,1.13
Ecuador,Germany,4.8,3.75,1.71
Japan,Sweden,2.1,3.42,3.5
Tunisia,Netherlands,9.5,5.25,1.3
Paraguay,Australia,2.15,3.31,3.46
Turkey,United States,2.8,3.6,2.38
Norway,France,4.3,3.6,1.83
Senegal,Iraq,1.4,4.53,8.0
Cape Verde,Saudi Arabia,2.68,3.6,2.45
Uruguay,Spain,5.99,4.18,1.54
New Zealand,Belgium,12.0,6.1,1.22
Egypt,Iran,2.1,3.1,3.82
Croatia,Ghana,1.64,3.75,5.51
Panama,England,10.0,5.8,1.25
Colombia,Portugal,3.5,3.31,2.1
DR Congo,Uzbekistan,2.3,3.25,3.1
Algeria,Austria,3.54,3.15,2.15
Jordan,Argentina,14.0,7.0,1.18
