date,home_team,away_team,odds_1,odds_X,odds_2
2018-01-07,Sweden,Estonia,1.61,3.79,5.0
2018-01-11,Indonesia,Iceland,13.0,7.0,1.14
2018-01-11,Jordan,Finland,3.75,3.25,1.9
2018-01-11,Sweden,Denmark,2.6,3.2,2.5
2018-01-14,Indonesia,Iceland,23.0,11.0,1.06
2018-01-15,Jordan,Denmark,6.5,3.7,1.5
2018-01-27,Moldova,South Korea,5.25,3.5,1.7
2018-01-29,United States,Bosnia and Herzegovina,1.72,3.5,5.0
2018-01-30,Azerbaijan,Moldova,2.2,3.25,3.0
2018-02-01,Mexico,Bosnia and Herzegovina,1.44,4.0,8.5
2018-02-03,South Korea,Latvia,1.53,3.75,7.0
2018-02-26,Saudi Arabia,Moldova,1.5,3.6,6.5
2018-03-21,Antigua and Barbuda,Bermuda,1.39,4.5,6.5
2018-03-21,Jordan,Kuwait,2.0,3.2,4.0
2018-03-21,Liechtenstein,Andorra,1.95,3.0,4.59
2018-03-21,South Africa,Angola,1.72,3.2,5.0
2018-03-21,Togo,Madagascar,2.62,3.0,2.62
2018-03-21,Zambia,Zimbabwe,1.9,3.1,4.0
2018-03-22,Algeria,Tanzania,1.16,7.0,17.0
2018-03-22,Bahrain,Palestine,2.29,3.0,3.39
2018-03-22,China,Wales,6.5,3.75,1.57
2018-03-22,Denmark,Panama,1.25,5.5,12.0
2018-03-22,Faroe Islands,Latvia,3.29,3.29,2.2
2018-03-22,Malaysia,Mongolia,1.1,9.0,23.0
2018-03-22,Malta,Luxembourg,3.89,3.39,1.95
2018-03-22,Philippines,Fiji,1.33,5.0,8.5
2018-03-23,Argentina,Italy,2.45,3.1,3.39
2018-03-23,Austria,Slovenia,1.8,3.6,5.25
2018-03-23,Azerbaijan,Belarus,3.5,3.0,2.25
2018-03-23,Bulgaria,Bosnia and Herzegovina,2.95,3.1,2.75
2018-03-23,Cyprus,Montenegro,4.0,3.29,2.0
2018-03-23,Finland,North Macedonia,3.1,3.1,2.6
2018-03-23,France,Colombia,1.44,4.59,8.5
2018-03-23,Gambia,Central African Republic,1.57,3.39,7.5
2018-03-23,Germany,Spain,2.25,3.39,3.5
2018-03-23,Greece,Switzerland,4.2,3.1,2.14
2018-03-23,Hungary,Kazakhstan,1.36,4.75,9.0
2018-03-23,Japan,Mali,1.5,4.0,8.0
2018-03-23,Morocco,Serbia,3.89,3.2,2.2
2018-03-23,Netherlands,England,2.6,3.25,3.0
2018-03-23,Nicaragua,Cuba,1.39,4.5,5.75
2018-03-23,Norway,Australia,2.45,3.2,3.25
2018-03-23,Poland,Nigeria,1.75,3.7,5.5
2018-03-23,Portugal,Egypt,1.5,4.2,8.0
2018-03-23,Russia,Brazil,6.5,4.2,1.57
2018-03-23,Scotland,Costa Rica,2.29,3.2,3.6
2018-03-23,Senegal,Uzbekistan,1.61,3.6,6.5
2018-03-23,Singapore,Maldives,1.44,4.33,7.5
2018-03-23,Tunisia,Iran,2.62,3.0,3.0
2018-03-23,Turkey,Republic of Ireland,1.9,3.39,4.75
2018-03-23,Ukraine,Saudi Arabia,1.44,4.5,7.5
2018-03-23,Uruguay,Czech Republic,1.53,4.0,7.0
2018-03-24,Armenia,Estonia,1.85,3.5,4.33
2018-03-24,Botswana,Lesotho,1.8,3.0,4.75
2018-03-24,Canada,New Zealand,2.04,3.2,3.79
2018-03-24,Georgia,Lithuania,1.9,3.25,4.75
2018-03-24,Israel,Romania,3.0,3.2,2.39
2018-03-24,Ivory Coast,Togo,1.7,3.6,5.0
2018-03-24,Kenya,Comoros,2.04,3.0,4.0
2018-03-24,Mexico,Iceland,1.61,3.6,6.0
2018-03-24,Northern Ireland,South Korea,3.75,3.0,2.14
2018-03-24,Peru,Croatia,4.0,3.2,2.0
2018-03-24,Sweden,Chile,3.25,3.2,2.5
2018-03-24,Uganda,São Tomé and Príncipe,1.16,5.5,15.0
2018-03-24,Zambia,South Africa,2.5,3.0,2.75
