date,home_team,away_team,home_xg,away_xg
2023-06-14,Netherlands,Croatia,1.62,3.26
2023-06-15,Spain,Italy,2.73,1.81
2023-06-16,Andorra,Switzerland,0.29,3.16
2023-06-16,Belarus,Israel,0.55,2.72
2023-06-16,Denmark,Northern Ireland,1.04,0.32
2023-06-16,Finland,Slovenia,0.73,1.44
2023-06-16,Gibraltar,France,0.06,3.8
2023-06-16,Greece,Republic of Ireland,1.87,0.85
2023-06-16,Kosovo,Romania,0.82,0.84
2023-06-16,Latvia,Turkey,2.69,2.34
2023-06-16,Malta,England,0.0,2.83
2023-06-16,North Macedonia,Ukraine,1.63,0.88
2023-06-16,San Marino,Kazakhstan,0.35,1.92
2023-06-16,Wales,Armenia,2.39,1.07
2023-06-17,Albania,Moldova,0.45,0.51
2023-06-17,Azerbaijan,Estonia,0.97,1.09
2023-06-17,Belgium,Austria,1.1,0.68
2023-06-17,Cyprus,Georgia,2.21,2.22
2023-06-17,Faroe Islands,Czech Republic,0.0,1.57
2023-06-17,Iceland,Slovakia,1.53,0.89
2023-06-17,Lithuania,Bulgaria,0.13,1.67
2023-06-17,Luxembourg,Liechtenstein,2.47,0.39
2023-06-17,Montenegro,Hungary,0.9,0.32
2023-06-17,Norway,Scotland,1.69,0.54
2023-06-17,Portugal,Bosnia and Herzegovina,1.97,0.47
2023-06-18,Croatia,Spain,0.82,1.34
2023-06-18,Netherlands,Italy,1.67,1.74
2023-06-19,Armenia,Latvia,2.0,0.02
2023-06-19,Belarus,Kosovo,1.98,1.36
2023-06-19,England,North Macedonia,4.21,0.0
2023-06-19,Finland,San Marino,3.61,0.1
2023-06-19,France,Greece,2.4,0.21
2023-06-19,Israel,Andorra,1.48,0.35
2023-06-19,Northern Ireland,Kazakhstan,1.07,1.09
2023-06-19,Republic of Ireland,Gibraltar,3.78,0.06
2023-06-19,Slovenia,Denmark,0.38,1.68
2023-06-19,Switzerland,Romania,2.9,0.7
2023-06-19,Turkey,Wales,1.75,0.17
2023-06-19,Ukraine,Malta,3.58,0.27
2023-06-20,Austria,Sweden,1.83,0.29
