as_of,engine,rank,team,confederation,attack,defence,rating,opp_rating
2026-06-17,dc,1,Argentina,CONMEBOL,1.4183,-1.7708,3.1891,1.6197
2026-06-17,dc,2,Spain,UEFA,1.5651,-1.3979,2.963,1.8349
2026-06-17,dc,3,England,UEFA,1.3445,-1.4882,2.8327,1.5479
2026-06-17,dc,4,Brazil,CONMEBOL,1.5388,-1.2259,2.7648,1.9836
2026-06-17,dc,5,France,UEFA,1.4717,-1.2365,2.7082,1.8888
2026-06-17,dc,6,Portugal,UEFA,1.4568,-1.2248,2.6816,1.6595
2026-06-17,dc,7,Colombia,CONMEBOL,1.3911,-1.2072,2.5983,1.8992
2026-06-17,dc,8,Netherlands,UEFA,1.4442,-1.1033,2.5475,1.7102
2026-06-17,dc,9,Morocco,CAF,1.0245,-1.5183,2.5428,1.0771
2026-06-17,dc,10,Germany,UEFA,1.5382,-1.0042,2.5423,1.7684
2026-06-17,dc,11,Belgium,UEFA,1.3919,-1.107,2.4989,1.5095
2026-06-17,dc,12,Denmark,UEFA,1.2066,-1.2126,2.4192,1.6575
2026-06-17,dc,13,Japan,AFC,1.1973,-1.1685,2.3658,1.2253
2026-06-17,dc,14,Norway,UEFA,1.366,-0.997,2.363,1.4671
2026-06-17,dc,15,Ecuador,CONMEBOL,0.8967,-1.3944,2.2911,1.8148
2026-06-17,dc,16,Italy,UEFA,1.2037,-1.0776,2.2813,1.6774
2026-06-17,dc,17,Uruguay,CONMEBOL,0.9759,-1.2958,2.2716,1.808
2026-06-17,dc,18,Switzerland,UEFA,1.2698,-1.0014,2.2712,1.7463
2026-06-17,dc,19,Croatia,UEFA,1.1866,-1.0757,2.2623,1.7197
2026-06-17,dc,20,Austria,UEFA,1.1403,-1.077,2.2173,1.3844
2026-06-17,dc,21,Senegal,CAF,1.0589,-1.0195,2.0783,1.0999
2026-06-17,dc,22,Algeria,CAF,1.1229,-0.9224,2.0454,0.9655
2026-06-17,dc,23,Australia,AFC,0.9454,-1.0633,2.0087,1.1754
2026-06-17,dc,24,Mexico,CONCACAF,0.9847,-1.0208,2.0055,1.4454
2026-06-17,dc,25,Greece,UEFA,0.949,-1.0183,1.9672,1.5512
2026-06-17,dc,26,Russia,UEFA,0.8876,-1.0605,1.9481,1.0062
2026-06-17,dc,27,Turkey,UEFA,1.1861,-0.7514,1.9375,1.5509
2026-06-17,dc,28,Sweden,UEFA,1.2335,-0.6759,1.9094,1.6063
2026-06-17,dc,29,Ivory Coast,CAF,0.8324,-1.0601,1.8926,0.9801
2026-06-17,dc,30,Iran,AFC,1.0205,-0.8511,1.8716,0.9181
2026-06-17,dc,31,Canada,CONCACAF,0.8537,-0.9673,1.8211,1.2608
2026-06-17,dc,32,Ukraine,UEFA,1.0511,-0.7564,1.8075,1.6332
2026-06-17,dc,33,Scotland,UEFA,0.9786,-0.8236,1.8023,1.5949
2026-06-17,dc,34,Chile,CONMEBOL,0.9968,-0.7903,1.7871,1.8567
2026-06-17,dc,35,Paraguay,CONMEBOL,0.828,-0.9547,1.7827,1.9278
2026-06-17,dc,36,South Korea,AFC,0.9513,-0.7982,1.7495,1.0844
2026-06-17,dc,37,Czech Republic,UEFA,1.0061,-0.7426,1.7487,1.3034
2026-06-17,dc,38,United States,CONCACAF,1.0123,-0.7315,1.7438,1.4359
2026-06-17,dc,39,Egypt,CAF,0.7134,-1.0241,1.7374,1.0771
2026-06-17,dc,40,Poland,UEFA,0.9953,-0.7302,1.7255,1.5267
2026-06-17,dc,41,Mali,CAF,0.6411,-1.0438,1.6849,0.8844
2026-06-17,dc,42,Nigeria,CAF,0.9256,-0.7578,1.6834,1.0717
2026-06-17,dc,43,Serbia,UEFA,0.9197,-0.7602,1.6799,1.5926
2026-06-17,dc,44,Venezuela,CONMEBOL,0.901,-0.7681,1.6691,1.8237
2026-06-17,dc,45,Hungary,UEFA,0.8277,-0.8025,1.6302,1.5514
2026-06-17,dc,46,Kosovo,UEFA,0.8443,-0.7356,1.5799,1.2622
2026-06-17,dc,47,Slovenia,UEFA,0.6212,-0.9586,1.5798,1.4513
2026-06-17,dc,48,Republic of Ireland,UEFA,0.6361,-0.9104,1.5465,1.438
2026-06-17,dc,49,DR Congo,CAF,0.5325,-1.0104,1.5429,0.9825
2026-06-17,dc,50,Romania,UEFA,0.7721,-0.7647,1.5368,1.1446
2026-06-17,dc,51,Slovakia,UEFA,0.7732,-0.762,1.5352,1.3206
2026-06-17,dc,52,Peru,CONMEBOL,0.617,-0.9173,1.5343,1.8835
2026-06-17,dc,53,Georgia,UEFA,0.8759,-0.6568,1.5327,1.3707
2026-06-17,dc,54,Wales,UEFA,0.754,-0.7734,1.5273,1.3475
2026-06-17,dc,55,Uzbekistan,AFC,0.6407,-0.8597,1.5005,0.9435
2026-06-17,dc,56,Tunisia,CAF,0.6877,-0.7974,1.4851,1.0821
2026-06-17,dc,57,Cameroon,CAF,0.6227,-0.8556,1.4783,1.005
2026-06-17,dc,58,Israel,UEFA,1.0268,-0.4286,1.4554,1.4437
2026-06-17,dc,59,Northern Ireland,UEFA,0.6135,-0.7941,1.4076,1.4201
