team,group,p_win_group,p_runner_up,p_third,p_best_third,p_knockout,p_r16,p_qf,p_sf,p_final,p_champion
Argentina,J,0.6779,0.2263,0.0799,0.0694,0.9736,0.6785,0.5263,0.3761,0.2539,0.1675
Spain,H,0.7659,0.1998,0.0295,0.0261,0.9918,0.6723,0.4666,0.3404,0.2276,0.1388
Brazil,C,0.6789,0.2323,0.0788,0.0711,0.9824,0.6735,0.455,0.2908,0.1614,0.0913
Portugal,K,0.5726,0.3117,0.09,0.074,0.9584,0.6915,0.4365,0.2501,0.1441,0.0783
England,L,0.6537,0.2475,0.0771,0.0652,0.9664,0.6377,0.416,0.2437,0.132,0.0716
France,I,0.6038,0.27,0.11,0.0955,0.9694,0.6651,0.4076,0.2481,0.1313,0.0685
Colombia,K,0.3555,0.439,0.1534,0.1164,0.9108,0.604,0.3368,0.1873,0.0992,0.0479
Belgium,G,0.6638,0.2205,0.0876,0.0746,0.9589,0.6869,0.43,0.1975,0.1025,0.0459
Morocco,C,0.2199,0.4496,0.2674,0.2012,0.8707,0.5033,0.3091,0.1683,0.0814,0.0389
Germany,E,0.6293,0.2521,0.1115,0.1035,0.9849,0.6355,0.3318,0.1815,0.0837,0.0372
Netherlands,F,0.5049,0.2772,0.1498,0.1208,0.9029,0.4676,0.3015,0.1622,0.0763,0.0343
Switzerland,B,0.5477,0.2999,0.1232,0.1037,0.9512,0.6179,0.2872,0.1253,0.0548,0.0222
Ecuador,E,0.226,0.4091,0.3226,0.2593,0.8943,0.4969,0.2372,0.1151,0.0504,0.0208
Japan,F,0.2869,0.3319,0.2428,0.1805,0.7992,0.3775,0.217,0.1094,0.0485,0.0198
Norway,I,0.2618,0.4007,0.276,0.217,0.8795,0.4806,0.2364,0.113,0.047,0.0189
Uruguay,H,0.2046,0.5716,0.1694,0.1157,0.8919,0.3874,0.2115,0.1004,0.0448,0.0178
Croatia,L,0.2602,0.45,0.2074,0.1519,0.8621,0.4195,0.1976,0.092,0.0385,0.0148
Austria,J,0.2029,0.4141,0.2928,0.2203,0.8373,0.346,0.1662,0.0705,0.0298,0.0104
Mexico,A,0.5436,0.2597,0.1374,0.1114,0.9148,0.4826,0.1917,0.068,0.0216,0.007
Senegal,I,0.1261,0.2877,0.4484,0.3151,0.7289,0.3359,0.15,0.0605,0.021,0.0069
Algeria,J,0.1046,0.2932,0.4274,0.2931,0.691,0.2695,0.117,0.0434,0.0158,0.005
Turkey,D,0.3412,0.2857,0.2204,0.169,0.7959,0.4082,0.151,0.0466,0.0154,0.0044
Canada,B,0.3355,0.4014,0.2061,0.1626,0.8996,0.4577,0.1542,0.0479,0.0147,0.004
Iran,G,0.1246,0.2962,0.3541,0.2345,0.6553,0.3271,0.1153,0.0378,0.013,0.0039
Ivory Coast,E,0.1423,0.321,0.4689,0.3564,0.8197,0.3502,0.1235,0.0426,0.013,0.0037
Paraguay,D,0.1832,0.2447,0.2897,0.2057,0.6335,0.2943,0.1031,0.0338,0.0121,0.0033
Australia,D,0.1198,0.1872,0.2764,0.1876,0.4946,0.2312,0.0808,0.027,0.0092,0.0028
Egypt,G,0.175,0.3589,0.3008,0.2056,0.7396,0.3401,0.1146,0.0335,0.0101,0.0027
Czech Republic,A,0.1969,0.2952,0.2933,0.2054,0.6975,0.3132,0.108,0.0308,0.0086,0.0022
South Korea,A,0.1942,0.2943,0.2955,0.2079,0.6964,0.3069,0.1057,0.029,0.0076,0.0021
United States,D,0.3558,0.2824,0.2135,0.1649,0.8031,0.3524,0.1074,0.0264,0.0074,0.0018
Sweden,F,0.1455,0.2492,0.3321,0.2273,0.6219,0.1855,0.0747,0.0253,0.0068,0.0018
Scotland,C,0.0939,0.2716,0.4702,0.3187,0.6841,0.2363,0.0872,0.0259,0.0067,0.0016
Tunisia,F,0.0628,0.1417,0.2754,0.1699,0.3743,0.0956,0.0327,0.0095,0.0023,0.0005
DR Congo,K,0.0407,0.1389,0.4078,0.2238,0.4034,0.128,0.0388,0.0109,0.0025,0.0005
Uzbekistan,K,0.0312,0.1104,0.3488,0.1821,0.3237,0.097,0.028,0.0075,0.0019,0.0004
Bosnia and Herzegovina,B,0.1004,0.2354,0.4556,0.3029,0.6387,0.2092,0.0436,0.0072,0.0011,0.0002
South Africa,A,0.0653,0.1508,0.2738,0.1701,0.3862,0.1078,0.0239,0.0036,0.0007,0.0001
Ghana,L,0.0534,0.1794,0.4008,0.2353,0.4681,0.0797,0.0167,0.0026,0.0003,0.0
Haiti,C,0.0074,0.0465,0.1836,0.0837,0.1376,0.0153,0.0018,0.0001,0.0,0.0
Jordan,J,0.0146,0.0663,0.2,0.1005,0.1813,0.0335,0.0063,0.0009,0.0002,0.0
Qatar,B,0.0164,0.0633,0.2151,0.1082,0.1878,0.036,0.0039,0.0002,0.0,0.0
Iraq,I,0.0082,0.0416,0.1657,0.0795,0.1293,0.0276,0.0063,0.001,0.0001,0.0
Curaçao,E,0.0024,0.0178,0.097,0.0397,0.0599,0.0046,0.0003,0.0,0.0,0.0
Saudi Arabia,H,0.0154,0.1164,0.4066,0.1852,0.317,0.067,0.0156,0.0025,0.0004,0.0
Cape Verde,H,0.0141,0.1122,0.3946,0.1778,0.304,0.054,0.0101,0.0012,0.0001,0.0
New Zealand,G,0.0365,0.1244,0.2575,0.1417,0.3026,0.0662,0.0093,0.0011,0.0001,0.0
Panama,L,0.0327,0.1232,0.3147,0.1684,0.3243,0.0458,0.0082,0.0011,0.0001,0.0
