team,group,p_win_group,p_runner_up,p_third,p_best_third,p_knockout,p_r16,p_qf,p_sf,p_final,p_champion
Argentina,J,1.0,0.0,0.0,0.0,1.0,0.9186,0.7478,0.5352,0.3547,0.2319
Spain,H,1.0,0.0,0.0,0.0,1.0,0.8589,0.5391,0.3874,0.2456,0.1347
Brazil,C,1.0,0.0,0.0,0.0,1.0,0.7117,0.5026,0.3047,0.1569,0.0886
England,L,1.0,0.0,0.0,0.0,1.0,0.853,0.5635,0.3149,0.1535,0.0828
France,I,1.0,0.0,0.0,0.0,1.0,0.8525,0.5113,0.3136,0.1655,0.0798
Colombia,K,1.0,0.0,0.0,0.0,1.0,0.7622,0.4874,0.2201,0.1162,0.0594
Portugal,K,0.0,1.0,0.0,0.0,1.0,0.6744,0.3034,0.1979,0.1107,0.0528
Netherlands,F,1.0,0.0,0.0,0.0,1.0,0.5988,0.4513,0.2284,0.1087,0.0482
Belgium,G,1.0,0.0,0.0,0.0,1.0,0.6109,0.4703,0.2018,0.1013,0.0425
Germany,E,1.0,0.0,0.0,0.0,1.0,0.8099,0.3816,0.2136,0.0989,0.0421
Morocco,C,0.0,1.0,0.0,0.0,1.0,0.4012,0.2807,0.135,0.0623,0.0266
Switzerland,B,1.0,0.0,0.0,0.0,1.0,0.6451,0.3042,0.106,0.0438,0.0164
Norway,I,0.0,1.0,0.0,0.0,1.0,0.617,0.2275,0.1024,0.0363,0.0142
Ecuador,E,0.0,0.0,1.0,1.0,1.0,0.4121,0.1809,0.0802,0.0314,0.0136
Japan,F,0.0,1.0,0.0,0.0,1.0,0.2883,0.1577,0.0733,0.0274,0.0115
Senegal,I,0.0,0.0,1.0,1.0,1.0,0.3891,0.2611,0.083,0.0319,0.0102
Croatia,L,0.0,1.0,0.0,0.0,1.0,0.3256,0.1019,0.0523,0.0214,0.0074
Mexico,A,1.0,0.0,0.0,0.0,1.0,0.5879,0.1982,0.0672,0.0204,0.0067
Algeria,J,0.0,0.0,1.0,1.0,1.0,0.3549,0.1494,0.0449,0.0159,0.005
Canada,B,0.0,1.0,0.0,0.0,1.0,0.7253,0.2127,0.059,0.0161,0.0039
Austria,J,0.0,1.0,0.0,0.0,1.0,0.1411,0.0556,0.0281,0.0113,0.0037
Ivory Coast,E,0.0,1.0,0.0,0.0,1.0,0.383,0.1122,0.0414,0.0123,0.0036
Egypt,G,0.0,1.0,0.0,0.0,1.0,0.5432,0.119,0.0402,0.0119,0.0034
Australia,D,0.0,1.0,0.0,0.0,1.0,0.4568,0.1042,0.0369,0.012,0.0033
United States,D,1.0,0.0,0.0,0.0,1.0,0.8156,0.2298,0.0445,0.0116,0.0025
Paraguay,D,0.0,0.0,1.0,1.0,1.0,0.19,0.0593,0.0231,0.0072,0.0022
Sweden,F,0.0,0.0,1.0,1.0,1.0,0.1475,0.0478,0.0171,0.0046,0.0011
DR Congo,K,0.0,0.0,1.0,1.0,1.0,0.147,0.0574,0.016,0.0038,0.0008
South Africa,A,0.0,1.0,0.0,0.0,1.0,0.2747,0.0553,0.0102,0.0018,0.0004
Ghana,L,0.0,0.0,1.0,1.0,1.0,0.2378,0.059,0.0107,0.0022,0.0004
Cape Verde,H,0.0,1.0,0.0,0.0,1.0,0.0814,0.029,0.006,0.0012,0.0002
Bosnia and Herzegovina,B,0.0,0.0,1.0,1.0,1.0,0.1844,0.0388,0.005,0.001,0.0001
South Korea,A,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curaçao,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,H,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iran,G,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
