team,group,p_win_group,p_runner_up,p_third,p_best_third,p_knockout,p_r16,p_qf,p_sf,p_final,p_champion
Argentina,J,0.7098,0.2115,0.0685,0.061,0.9823,0.6849,0.5314,0.3803,0.2584,0.1709
Spain,H,0.753,0.2106,0.0308,0.0269,0.9906,0.6724,0.4638,0.3408,0.2281,0.1383
Brazil,C,0.6137,0.2886,0.0906,0.083,0.9853,0.6709,0.4572,0.2939,0.1629,0.0917
Portugal,K,0.5152,0.3289,0.1146,0.0914,0.9354,0.6625,0.4151,0.2366,0.1346,0.0716
England,L,0.6211,0.3025,0.0626,0.0528,0.9764,0.64,0.4122,0.2427,0.1317,0.0713
France,I,0.5337,0.283,0.1462,0.1216,0.9383,0.6349,0.3933,0.2373,0.1267,0.0666
Colombia,K,0.3961,0.3884,0.154,0.1151,0.8997,0.5882,0.3356,0.1824,0.0971,0.0473
Belgium,G,0.6153,0.2472,0.1094,0.0918,0.9543,0.6805,0.4157,0.1915,0.0998,0.0454
Morocco,C,0.3094,0.4656,0.1991,0.1608,0.9359,0.5405,0.3287,0.179,0.0877,0.042
Germany,E,0.534,0.299,0.1586,0.1465,0.9796,0.6277,0.3314,0.1772,0.0822,0.0369
Netherlands,F,0.4551,0.2988,0.1661,0.133,0.8869,0.4456,0.2827,0.1533,0.0721,0.0331
Switzerland,B,0.5704,0.3155,0.0946,0.0803,0.9662,0.6228,0.2879,0.1256,0.0549,0.0222
Ecuador,E,0.3182,0.3975,0.2601,0.2159,0.9316,0.5244,0.2519,0.1229,0.0532,0.022
Japan,F,0.3502,0.3302,0.2107,0.1597,0.8401,0.3934,0.2286,0.1168,0.0513,0.0214
Norway,I,0.2759,0.3512,0.2757,0.2071,0.8342,0.4539,0.2255,0.1072,0.0448,0.0184
Uruguay,H,0.2166,0.5683,0.1652,0.1102,0.8952,0.3891,0.2086,0.0999,0.0444,0.0182
Croatia,L,0.3299,0.4851,0.1434,0.1093,0.9243,0.4642,0.2235,0.1058,0.0437,0.0167
Austria,J,0.158,0.3914,0.3383,0.2445,0.794,0.3278,0.1557,0.0664,0.0268,0.0094
Senegal,I,0.1714,0.2982,0.3725,0.2595,0.7291,0.3392,0.1488,0.0594,0.0213,0.0074
Mexico,A,0.5007,0.2731,0.1563,0.1272,0.901,0.4737,0.1867,0.0669,0.0217,0.0071
Algeria,J,0.1209,0.3312,0.3938,0.2783,0.7304,0.2786,0.1202,0.0446,0.0163,0.005
Iran,G,0.215,0.361,0.2988,0.2122,0.7882,0.4002,0.1481,0.0475,0.0158,0.0047
Canada,B,0.3554,0.4349,0.1666,0.1316,0.9218,0.4653,0.1566,0.0501,0.0161,0.0044
Turkey,D,0.2812,0.2526,0.2337,0.1775,0.7113,0.3565,0.1329,0.0411,0.014,0.0039
Australia,D,0.2402,0.2539,0.2557,0.1899,0.684,0.3297,0.1206,0.0387,0.0137,0.0037
Ivory Coast,E,0.146,0.2905,0.497,0.3804,0.8169,0.3529,0.1272,0.0438,0.0135,0.0036
Paraguay,D,0.2141,0.2475,0.2672,0.1958,0.6575,0.3074,0.1088,0.0346,0.0117,0.0033
Egypt,G,0.1494,0.3108,0.369,0.2446,0.7048,0.3208,0.106,0.0318,0.01,0.0026
Czech Republic,A,0.2307,0.2988,0.2828,0.204,0.7335,0.3289,0.1124,0.0315,0.0085,0.0022
South Korea,A,0.2086,0.2891,0.2979,0.2132,0.7109,0.309,0.1036,0.0292,0.0079,0.0021
Scotland,C,0.0737,0.2219,0.559,0.3849,0.6805,0.2396,0.0854,0.026,0.0067,0.0017
United States,D,0.2644,0.246,0.2435,0.1845,0.6949,0.2947,0.0904,0.0229,0.006,0.0015
Sweden,F,0.1276,0.2166,0.3241,0.217,0.5612,0.1668,0.0668,0.0228,0.0062,0.0014
DR Congo,K,0.0471,0.1479,0.3785,0.2085,0.4035,0.1246,0.0387,0.0106,0.0024,0.0006
Tunisia,F,0.0672,0.1544,0.299,0.1894,0.411,0.1062,0.0345,0.0104,0.0026,0.0005
Uzbekistan,K,0.0416,0.1348,0.3529,0.1911,0.3675,0.1066,0.0308,0.0081,0.002,0.0005
Bosnia and Herzegovina,B,0.0589,0.183,0.4783,0.2967,0.5386,0.174,0.0374,0.0061,0.0011,0.0002
South Africa,A,0.06,0.1389,0.2629,0.1641,0.363,0.0993,0.0224,0.0031,0.0004,0.0001
Ghana,L,0.0282,0.1178,0.4283,0.2284,0.3743,0.0632,0.0132,0.0023,0.0004,0.0
Iraq,I,0.019,0.0675,0.2056,0.11,0.1966,0.0423,0.0089,0.0014,0.0003,0.0
Jordan,J,0.0113,0.0658,0.1994,0.1002,0.1774,0.0326,0.0063,0.0009,0.0001,0.0
Qatar,B,0.0154,0.0666,0.2605,0.1285,0.2104,0.0382,0.0043,0.0003,0.0,0.0
Haiti,C,0.0032,0.0239,0.1514,0.0655,0.0926,0.0108,0.0012,0.0001,0.0,0.0
Curaçao,E,0.0018,0.0129,0.0844,0.035,0.0497,0.0046,0.0003,0.0,0.0,0.0
Saudi Arabia,H,0.019,0.1279,0.4442,0.2123,0.3592,0.0758,0.0169,0.003,0.0005,0.0
Cape Verde,H,0.0113,0.0931,0.3598,0.1588,0.2633,0.0459,0.0083,0.0012,0.0001,0.0
New Zealand,G,0.0203,0.0811,0.2228,0.1157,0.2171,0.0466,0.0063,0.0008,0.0001,0.0
Panama,L,0.0209,0.0946,0.3657,0.184,0.2995,0.0422,0.0074,0.0011,0.0001,0.0
