conf_a,conf_b,n,exp_share_a,real_share_a,bias_a,goal_res_a,goal_res_b,rps
CONMEBOL,UEFA,22,0.617695808336197,0.5227272727272727,0.09496853560892428,0.08210464720521352,0.3257910754074459,0.19550421394803139
CAF,UEFA,21,0.32327830257905904,0.35714285714285715,-0.0338645545637981,0.24774369115711078,0.09636296044870475,0.20701434483966982
CONCACAF,CONMEBOL,21,0.314951559524849,0.30952380952380953,0.0054277500010394605,-0.15033747932993816,0.006720364835566864,0.14407290645307416
AFC,UEFA,19,0.3088065509341699,0.39473684210526316,-0.08593029117109323,0.2946267620081304,0.13951886507928113,0.22948743612027464
CONCACAF,UEFA,14,0.3473150852334595,0.21428571428571427,0.13302937094774522,-0.1375244755800498,1.0708583879056344,0.14511994183988478
AFC,CONMEBOL,8,0.24091102601898556,0.3125,-0.07158897398101444,0.128973637239725,-0.16267887823755967,0.23234200400263882
CAF,CONMEBOL,6,0.2817810217939045,0.3333333333333333,-0.05155231153942882,0.09820401487489967,-0.3243682942186156,0.266682652511877
AFC,CAF,6,0.4787530384528688,0.5833333333333334,-0.10458029488046454,0.5682864623921214,0.4798626213783009,0.27539163479884227
AFC,CONCACAF,4,0.4476001444773401,0.0,0.4476001444773401,-0.33095852427202854,0.45752278249894646,0.23999164423366098
CAF,CONCACAF,2,0.5473339137486086,1.0,-0.4526660862513914,0.9496933606056678,0.12802102114878822,0.231722218437453
