conf_a,conf_b,n,exp_share_a,real_share_a,bias_a,goal_res_a,goal_res_b,rps
CONMEBOL,UEFA,22,0.6118701266910386,0.5227272727272727,0.0891428539637658,0.06651638334986297,0.29056275894754696,0.19717735006444295
CAF,UEFA,21,0.34367174518839905,0.35714285714285715,-0.013471111954458118,0.21997690623387772,0.15444726128965774,0.20188954784442312
CONCACAF,CONMEBOL,21,0.30797284846825507,0.30952380952380953,-0.0015509610555544434,-0.15186956421479897,-0.050578106013353115,0.13928155542396084
AFC,UEFA,19,0.30368644658524,0.39473684210526316,-0.09105039552002313,0.26148641987985083,0.06665092378495466,0.2463600136162781
CONCACAF,UEFA,14,0.3320033097264778,0.21428571428571427,0.11771759544076353,-0.146893740324993,0.9726002663345737,0.14135854001122006
AFC,CONMEBOL,8,0.24117895998488192,0.3125,-0.07132104001511808,0.10396060278178115,-0.21189178899473504,0.24066953834734112
CAF,CONMEBOL,6,0.2855932146007268,0.3333333333333333,-0.047740118732606564,0.04173412044596553,-0.40774244162890527,0.2654040269431206
AFC,CAF,6,0.46329833116105984,0.5833333333333334,-0.12003500217227352,0.5518125465868122,0.4038274314926798,0.27532805760183326
AFC,CONCACAF,4,0.43812941422730095,0.0,0.43812941422730095,-0.4271224568894763,0.3213978134311244,0.23006799809156395
CAF,CONCACAF,2,0.6337618534510714,1.0,-0.3662381465489286,0.7243781880668364,0.24409336367709067,0.15727679782993345
