conf_a,conf_b,n,exp_share_a,real_share_a,bias_a,goal_res_a,goal_res_b,rps
CONMEBOL,UEFA,22,0.5752523034251845,0.5227272727272727,0.05252503069791184,0.1644225744200758,0.21968265311199744,0.19075774506220292
CAF,UEFA,21,0.36041249765449723,0.35714285714285715,0.003269640511640116,0.12102783051001943,0.10394751707802882,0.2049308255663529
CONCACAF,CONMEBOL,21,0.3572863476537968,0.30952380952380953,0.04776253812998728,-0.26321260176266625,0.09174162124146688,0.1338046161737817
AFC,UEFA,19,0.3999934176461796,0.39473684210526316,0.005256575540916455,0.13952307877735456,0.38822173728906956,0.26452811799631415
CONCACAF,UEFA,14,0.36109793868539636,0.21428571428571427,0.14681222439968206,-0.1934613302040943,1.0706192559325238,0.1732055836217951
AFC,CONMEBOL,8,0.3471159940729388,0.3125,0.034615994072938805,-0.07416737654538069,0.12931149288320964,0.25056679549051586
CAF,CONMEBOL,6,0.35037485216681713,0.3333333333333333,0.017041518833483815,-0.14714949464854987,-0.3337246424093347,0.30653336902590916
AFC,CAF,6,0.5133373546819459,0.5833333333333334,-0.06999597865138744,0.3631161304713939,0.4236226363495647,0.3008170178218534
AFC,CONCACAF,4,0.49651493697255766,0.0,0.49651493697255766,-0.5893505155309401,0.40149019995278007,0.28571475479038994
CAF,CONCACAF,2,0.6222676939386134,1.0,-0.37773230606138664,0.6405035726868884,0.14393305966745856,0.1695082519895474
