gd_cap,half_life,friendly_w,cross_conf_w,shrink_mode,shrink_w,anchor_beta,elo_tau,matches,points,pts_per_match,exact,rps,log_loss
,1095,1.0,2.0,,0.0,0.0,0.0,290,607.0,2.093103448275862,40,0.18840113456546675,2.76716357348564
,730,1.0,2.0,,0.0,0.0,0.0,290,603.0,2.079310344827586,40,0.18840279943651178,2.7686819852114954
,730,1.0,1.5,,0.0,0.0,0.0,290,609.0,2.1,40,0.1884945236188396,2.7677612039621926
,1095,1.0,1.5,,0.0,0.0,0.0,290,596.0,2.0551724137931036,39,0.18857119811511927,2.766957826253769
,730,0.75,2.0,,0.0,0.0,0.0,290,617.0,2.127586206896552,40,0.1885804660911802,2.7719524316140647
,1095,0.75,2.0,,0.0,0.0,0.0,290,607.0,2.093103448275862,40,0.1886995100093672,2.770737120320942
,730,0.75,1.5,,0.0,0.0,0.0,290,606.0,2.089655172413793,39,0.18871188041350942,2.771248165630274
,730,1.0,1.0,,0.0,0.0,0.0,290,601.0,2.0724137931034483,40,0.18871761243808982,2.7678972073381214
,1095,1.0,1.0,,0.0,0.0,0.0,290,599.0,2.06551724137931,41,0.188840048400319,2.7673858136359764
,545,1.0,1.5,,0.0,0.0,0.0,290,619.0,2.1344827586206896,40,0.18886608522398524,2.773034885662318
,1095,0.75,1.5,,0.0,0.0,0.0,290,604.0,2.0827586206896553,40,0.1888708407597172,2.7706582143593907
,545,1.0,2.0,,0.0,0.0,0.0,290,606.0,2.089655172413793,38,0.18887412567924344,2.7748821489108177
,545,0.75,2.0,,0.0,0.0,0.0,290,608.0,2.0965517241379312,38,0.18891860293633855,2.7769204249179205
,730,0.5,2.0,,0.0,0.0,0.0,290,617.0,2.127586206896552,40,0.1889344290698295,2.7773997316788295
,730,0.75,1.0,,0.0,0.0,0.0,290,599.0,2.06551724137931,39,0.18898870623358233,2.7721806359555647
,545,0.75,1.5,,0.0,0.0,0.0,290,600.0,2.0689655172413794,38,0.1889887820431565,2.7759089391327145
,545,1.0,1.0,,0.0,0.0,0.0,290,603.0,2.079310344827586,36,0.18902026421870038,2.772402930161621
4.0,730,1.0,2.0,,0.0,0.0,0.0,290,590.0,2.0344827586206895,40,0.18907363759748974,2.77383213451597
,730,0.5,1.5,,0.0,0.0,0.0,290,610.0,2.103448275862069,40,0.18912031169250584,2.777760378922357
4.0,1095,1.0,2.0,,0.0,0.0,0.0,290,604.0,2.0827586206896553,42,0.18912210706079657,2.772090739898399
4.0,730,1.0,1.5,,0.0,0.0,0.0,290,593.0,2.0448275862068965,39,0.18912614426497149,2.7729950435657447
,545,0.5,2.0,,0.0,0.0,0.0,290,607.0,2.093103448275862,38,0.18912689478781133,2.7816615369756503
,1095,0.75,1.0,,0.0,0.0,0.0,290,599.0,2.06551724137931,40,0.18918425708185188,2.7718744356022715
,1095,0.5,2.0,,0.0,0.0,0.0,290,603.0,2.079310344827586,39,0.18918670234807328,2.776451109189367
,545,0.75,1.0,,0.0,0.0,0.0,290,587.0,2.024137931034483,35,0.18921396436975602,2.7764615531799897
4.0,730,0.75,2.0,,0.0,0.0,0.0,290,599.0,2.06551724137931,40,0.1892286463043918,2.7766161185407516
4.0,1095,1.0,1.5,,0.0,0.0,0.0,290,594.0,2.0482758620689654,40,0.18926277493651927,2.7720019391416217
,545,0.5,1.5,,0.0,0.0,0.0,290,599.0,2.06551724137931,37,0.18928024754369707,2.781736818470338
4.0,730,1.0,1.0,,0.0,0.0,0.0,290,588.0,2.027586206896552,37,0.18932056749439774,2.773243174465053
4.0,730,0.75,1.5,,0.0,0.0,0.0,290,600.0,2.0689655172413794,39,0.18933020783006616,2.776393602890435
,1095,0.5,1.5,,0.0,0.0,0.0,290,599.0,2.06551724137931,39,0.18939055876432248,2.776929150247049
,730,0.5,1.0,,0.0,0.0,0.0,290,611.0,2.106896551724138,39,0.18939112830849295,2.778867232915243
4.0,1095,0.75,2.0,,0.0,0.0,0.0,290,621.0,2.1413793103448278,44,0.18940915929053037,2.7752418411616784
4.0,545,1.0,1.5,,0.0,0.0,0.0,290,594.0,2.0482758620689654,39,0.18946442112774228,2.778308599982118
4.0,545,1.0,2.0,,0.0,0.0,0.0,290,598.0,2.0620689655172413,40,0.18950772430671464,2.780228988088128
4.0,1095,1.0,1.0,,0.0,0.0,0.0,290,590.0,2.0344827586206895,39,0.18951412105081814,2.772923704486387
4.0,545,0.75,2.0,,0.0,0.0,0.0,290,597.0,2.0586206896551724,39,0.18951788169194903,2.781668419380385
4.0,730,0.75,1.0,,0.0,0.0,0.0,290,581.0,2.003448275862069,37,0.18953645702459151,2.7770887433148745
4.0,1095,0.75,1.5,,0.0,0.0,0.0,290,600.0,2.0689655172413794,40,0.18954046094823693,2.7752531066941537
4.0,545,0.75,1.5,,0.0,0.0,0.0,290,597.0,2.0586206896551724,39,0.1895411796940474,2.780706849836137
4.0,730,0.5,2.0,,0.0,0.0,0.0,290,611.0,2.106896551724138,40,0.18954201008405905,2.781288951548453
4.0,545,1.0,1.0,,0.0,0.0,0.0,290,590.0,2.0344827586206895,36,0.18957257178576847,2.7778531230153174
,545,0.5,1.0,,0.0,0.0,0.0,290,594.0,2.0482758620689654,35,0.18958409482220742,2.783408070144238
4.0,730,0.5,1.5,,0.0,0.0,0.0,290,592.0,2.0413793103448277,38,0.18967476257668195,2.781682468596291
,1095,0.5,1.0,,0.0,0.0,0.0,290,596.0,2.0551724137931036,38,0.18969972679286037,2.778465088065246
4.0,545,0.5,2.0,,0.0,0.0,0.0,290,604.0,2.0827586206896553,39,0.1897064643619406,2.785841126747955
4.0,545,0.75,1.0,,0.0,0.0,0.0,290,568.0,1.9586206896551723,33,0.1897250090256294,2.781149308219174
4.0,545,0.5,1.5,,0.0,0.0,0.0,290,574.0,1.9793103448275862,35,0.18978959816469274,2.785600634332183
4.0,1095,0.75,1.0,,0.0,0.0,0.0,290,576.0,1.986206896551724,37,0.1898018849156164,2.776647079936877
4.0,1095,0.5,2.0,,0.0,0.0,0.0,290,623.0,2.1482758620689655,44,0.1898471760144371,2.7802936355259087
4.0,730,0.5,1.0,,0.0,0.0,0.0,290,591.0,2.037931034482759,38,0.18989901831922362,2.783207176737729
3.0,730,1.0,2.0,,0.0,0.0,0.0,290,596.0,2.0551724137931036,38,0.18992359512729678,2.784429628643427
3.0,1095,1.0,2.0,,0.0,0.0,0.0,290,631.0,2.1758620689655173,44,0.18995742440348848,2.7820143337103698
3.0,730,1.0,1.5,,0.0,0.0,0.0,290,599.0,2.06551724137931,40,0.1899757667848774,2.7838741264876825
4.0,545,0.5,1.0,,0.0,0.0,0.0,290,572.0,1.9724137931034482,33,0.19000841318853665,2.7871387794705695
4.0,1095,0.5,1.5,,0.0,0.0,0.0,290,614.0,2.117241379310345,43,0.1900212926217751,2.7809056420514833
3.0,1095,1.0,1.5,,0.0,0.0,0.0,290,624.0,2.1517241379310343,43,0.1900957934545347,2.7822385299335317
3.0,730,0.75,2.0,,0.0,0.0,0.0,290,607.0,2.093103448275862,40,0.19013494210031257,2.7874254751665797
3.0,730,1.0,1.0,,0.0,0.0,0.0,290,605.0,2.086206896551724,40,0.19014612992036195,2.7844653874124092
3.0,730,0.75,1.5,,0.0,0.0,0.0,290,596.0,2.0551724137931036,40,0.19021490371196997,2.7871691542544377
3.0,545,1.0,1.5,,0.0,0.0,0.0,290,585.0,2.0172413793103448,37,0.19026601579240826,2.7893892962507527
3.0,1095,0.75,2.0,,0.0,0.0,0.0,290,627.0,2.1620689655172414,43,0.1902671447566557,2.7854126733695472
4.0,1095,0.5,1.0,,0.0,0.0,0.0,290,590.0,2.0344827586206895,40,0.19027644815065364,2.782604621441944
